[-0.362415 7.041841 5.186250]; [-0.233061 7.199303 5.778897]; [-0.160392 7.283143 6.198091]; [0.049737 7.182314 6.027678]; [0.216205 7.512149 5.937310]; [0.091950 7.461631 4.225003]; [-0.053851 6.779551 4.099422]; [-0.113794 6.499569 4.655756]; [-0.022944 6.611238 4.733875]; [0.240206 6.977393 4.655632]; [0.648693 7.046503 4.626653]; [0.990484 6.739933 4.681715]; [1.305543 6.189278 5.171316]; [1.546284 5.861422 4.321192]; [1.396508 5.370068 3.703024]; [0.876409 4.483319 3.196533]; [0.435597 3.517037 2.899338]; [0.013992 2.726878 2.077641]; [-0.257173 2.299106 1.404306]; [-0.483039 1.846809 1.815190]; [-0.547696 1.510815 2.080003]; [-0.503379 1.361834 1.722860]; [-0.562486 1.373831 2.797470]; [-0.642536 1.701957 1.650999]; [-0.820616 1.752275 2.631217]; 
[-0.873836 6.907070 4.039507]; [-0.966879 7.484723 4.308530]; [-1.022930 7.796926 5.241054]; [-1.051472 7.755357 5.095264]; [-1.217867 8.108990 4.443184]; [-1.545197 8.338919 4.888755]; [-1.770060 8.499202 5.407718]; [-1.703434 8.445881 5.835896]; [-1.434000 8.229492 5.604101]; [-1.276230 8.057904 6.478081]; [-0.943273 8.431123 5.273810]; [-0.505355 8.412354 6.832531]; [-0.181098 8.359248 7.056906]; [0.143482 7.832569 7.373537]; [0.513448 7.753613 6.647619]; [0.411990 8.157677 5.931070]; [0.123158 8.121488 5.695436]; [-0.143735 7.920454 4.417262]; [-0.373716 7.370207 5.625259]; [-0.449020 7.119990 6.410794]; [-0.597158 7.015775 6.959915]; [-0.685601 6.622644 7.742764]; [-0.604685 5.973937 5.882126]; [-0.561767 5.159851 3.892224]; [-0.653737 4.308353 2.094150]; 
[-0.738786 2.058177 0.493974]; [-0.723553 2.293866 0.845053]; [-0.872392 2.647008 0.859688]; [-1.026638 3.113391 0.937714]; [-1.046884 3.658386 0.960454]; [-1.018242 4.184956 1.589757]; [-1.004368 4.823548 2.139908]; [-1.017011 5.558801 2.703383]; [-1.031979 6.299412 3.056678]; [-1.163827 7.077440 3.425617]; [-1.466413 7.291580 4.419448]; [-1.695620 7.749210 4.655454]; [-1.685269 7.986449 4.799051]; [-1.681765 8.204916 6.387641]; [-1.566476 8.486149 6.676055]; [-1.148337 8.875695 6.725338]; [-0.679349 8.995467 6.961264]; [-0.266274 8.840656 7.166283]; [-0.045273 8.608274 7.307439]; [-0.073674 8.664146 7.548320]; [-0.108890 8.761088 8.115950]; [-0.222447 8.865083 7.605733]; [-0.794504 8.980368 9.401496]; [-1.077314 8.481733 8.142870]; [-1.432606 8.559119 7.049325]; 
[-0.475151 -0.141257 -1.152469]; [-0.481008 -0.184627 -1.150752]; [-0.465027 -0.258391 -1.241931]; [-0.452681 -0.497788 -1.041098]; [-0.413269 -0.798119 -0.932818]; [-0.376728 -0.977674 -1.210994]; [-0.321058 -1.170013 -1.566597]; [-0.307606 -1.499564 -1.063589]; [-0.178716 -1.828188 -1.191180]; [-0.089127 -2.061957 -1.222071]; [0.024084 -2.492692 -1.051677]; [-0.005183 -3.407931 -0.815378]; [0.126617 -4.308996 -0.698500]; [0.291190 -4.813856 -0.458470]; [0.398465 -5.333096 -0.766195]; [0.307837 -5.746019 -0.046248]; [0.382735 -6.078278 -0.517467]; [0.264449 -6.613171 -0.670275]; [0.406013 -7.117364 -1.919447]; [0.673460 -7.372372 -1.420688]; [1.024254 -7.669617 0.169300]; [1.400048 -7.878337 -1.967906]; [1.601337 -8.057112 0.751682]; [1.855877 -8.342982 -0.656788]; [2.051941 -8.452795 1.298898]; 
[-0.548549 -0.714779 -2.771742]; [-0.464726 -0.701663 -2.755555]; [-0.487032 -0.928510 -2.431040]; [-0.382008 -0.836603 -2.438358]; [-0.244812 -0.810530 -2.347791]; [-0.194778 -1.093838 -2.172089]; [-0.176880 -1.377646 -2.007212]; [-0.093800 -1.478597 -2.048691]; [-0.019920 -1.490409 -1.930599]; [-0.013377 -1.657924 -1.755663]; [0.006557 -1.904707 -1.448696]; [-0.030955 -2.352344 -0.927583]; [-0.102235 -3.020277 -0.914606]; [-0.041817 -3.595810 -0.724034]; [0.159856 -4.023385 -0.078502]; [0.348392 -4.433709 1.014547]; [0.500784 -4.663346 1.542527]; [0.392130 -5.244430 2.230763]; [0.281435 -5.783992 2.568887]; [0.391427 -5.954069 3.077216]; [0.510858 -6.193096 3.697066]; [0.525871 -6.531863 4.289210]; [0.716107 -6.781189 3.886113]; [0.904513 -7.105078 2.460850]; [0.953154 -7.181917 2.514467]; 
[1.091837 -8.287887 5.253161]; [1.105546 -8.494887 4.858463]; [1.192462 -8.642451 5.078070]; [1.239110 -8.555192 5.081001]; [1.184784 -8.665657 3.923262]; [1.147162 -8.560884 3.370557]; [1.078087 -8.081691 3.756843]; [0.994088 -7.569289 3.375542]; [1.043337 -6.823783 3.917180]; [1.107626 -6.070383 2.687615]; [0.711907 -4.504071 4.324132]; [0.348392 -2.663924 2.385608]; [-0.066517 -1.506817 2.302998]; [-0.393304 -0.998305 0.949316]; [-0.736243 -1.071944 0.377992]; [-0.826333 -1.059883 0.536122]; [-0.818064 -0.885284 0.383344]; [-0.866604 -0.641945 0.724844]; [-0.888668 -0.497915 0.478593]; [-1.017397 -0.671256 -0.195157]; [-0.970411 -0.631654 0.468543]; [-0.869537 -0.636280 -0.377136]; [-0.813277 -0.534402 0.441358]; [-0.733009 -0.524753 -0.369370]; [-0.915857 -0.560310 -0.028281]; 
[0.810565 -8.977214 1.834022]; [0.863807 -8.996958 3.216547]; [1.091867 -8.973125 1.636293]; [1.155225 -9.501123 2.285306]; [1.271459 -9.267333 2.192053]; [1.176923 -8.913132 2.454339]; [1.215850 -8.500621 2.795159]; [0.990958 -8.509553 1.720963]; [0.604471 -8.511004 2.684329]; [0.607076 -8.408124 0.911795]; [0.447766 -8.436816 2.343922]; [0.290201 -8.336614 2.451854]; [0.560344 -7.637758 -0.842829]; [0.251597 -6.617814 1.519841]; [0.137881 -5.641257 0.325086]; [0.365840 -4.820418 -1.676775]; [0.080269 -3.916007 -0.543457]; [-0.238785 -3.152764 -2.155367]; [-0.365417 -2.429044 -1.508052]; [-0.342919 -1.892115 -1.384688]; [-0.410779 -1.654398 -1.654422]; [-0.459654 -1.529693 -2.413145]; [-0.659832 -1.354787 -1.931318]; [-0.871713 -1.130989 -3.300743]; [-1.045741 -0.941576 -4.286647]; 
[0.803154 3.959840 -2.957687]; [0.748830 4.288180 -3.136992]; [0.712642 4.307679 -2.987263]; [0.404602 4.556024 -3.881078]; [0.253031 4.742935 -2.965567]; [0.424426 5.107708 -2.937249]; [0.614615 5.564230 -3.124096]; [0.635990 6.001983 -2.280894]; [0.823588 6.173048 -4.407996]; [0.713125 5.860647 -2.899148]; [0.644325 5.818083 -1.498828]; [0.800652 6.026113 -3.962304]; [0.991496 6.308561 -1.997096]; [1.250021 6.332206 -2.855352]; [1.268142 6.550026 -1.767957]; [1.445444 6.684173 -2.400036]; [1.558890 6.711442 -1.129369]; [1.512748 6.904685 -1.755005]; [1.113881 7.283218 -0.014541]; [1.058666 7.079147 0.246449]; [1.105341 7.121277 0.930787]; [1.156185 7.146518 1.243532]; [1.041324 7.250435 2.328197]; [1.043552 7.500115 2.172057]; [1.196196 7.362457 3.684475]; 
[-0.366861 1.009949 -2.808062]; [-0.310702 0.985728 -2.959320]; [-0.237981 1.153286 -3.578079]; [-0.380332 1.407675 -3.225379]; [-0.499750 1.652424 -4.258927]; [-0.581697 1.898001 -3.184241]; [-0.468422 2.045715 -2.781824]; [-0.427163 2.173457 -3.079156]; [-0.346592 2.235974 -3.157688]; [-0.363315 2.649919 -3.372933]; [-0.572907 3.486975 -3.249571]; [-0.625258 4.277170 -3.142807]; [-0.828310 5.286415 -2.923695]; [-0.888753 6.060727 -2.232515]; [-0.717693 6.285933 -1.293523]; [-0.919715 6.929930 -0.727666]; [-0.944092 7.482231 -1.439103]; [-0.919921 8.012129 -0.956511]; [-0.845487 8.349295 0.090688]; [-0.422015 8.371084 -1.434798]; [-0.150149 8.318933 -0.199113]; [-0.107373 8.654202 -0.178593]; [0.042955 8.763702 -0.085897]; [0.359497 8.462204 1.079266]; [0.491833 8.457035 1.586124]; 
[-0.542341 8.242134 1.838787]; [-0.735192 8.314906 2.472650]; [-0.747289 7.900688 2.812225]; [-0.782386 7.518212 2.723125]; [-0.881428 7.307081 3.206747]; [-0.876999 7.246114 3.843585]; [-0.785362 7.043195 3.028862]; [-0.650105 6.541013 3.710820]; [-0.472659 6.219750 3.606930]; [-0.468274 5.853522 3.140585]; [-0.513343 5.310801 2.571591]; [-0.639548 4.646898 2.221019]; [-0.594323 3.768265 1.924508]; [-0.326478 2.487715 0.832304]; [-0.168800 1.931341 0.477615]; [-0.019253 1.431050 0.486869]; [0.016029 1.249169 0.221419]; [-0.173271 1.247179 -0.204705]; [-0.251599 1.323303 -0.722492]; [-0.071761 1.279460 -0.519955]; [0.011122 1.127193 -0.233017]; [0.033732 0.942281 -0.094758]; [-0.061532 0.730374 0.674285]; [-0.232990 0.926171 0.633466]; [-0.290642 1.195645 0.452753]; 
[-0.215690 7.038151 2.775804]; [-0.261224 7.757945 2.531312]; [-0.051507 8.690811 3.348188]; [-0.081347 9.427565 4.849268]; [0.118225 9.950053 6.196433]; [0.488850 10.010773 6.743726]; [0.567362 10.130426 7.983061]; [0.759750 9.597022 8.311139]; [0.971118 9.301075 7.407283]; [1.271007 9.334837 7.026287]; [1.563869 9.020048 6.508096]; [1.714478 8.619499 6.445728]; [1.726182 8.299310 7.362031]; [1.518967 8.500703 6.234973]; [1.289408 8.304470 6.360713]; [1.064467 7.990974 6.815934]; [0.994017 7.495098 7.620376]; [1.056111 7.074274 6.903995]; [1.028779 6.815396 7.268255]; [1.212423 6.721671 6.699581]; [1.520698 6.514289 6.513147]; [1.679786 6.070278 6.704737]; [1.564168 5.542961 5.690383]; [1.127369 4.676365 3.710515]; [0.877860 3.688894 2.767306]; 
