[-0.311918 0.204963 -1.180726]; [-0.312422 0.205536 -1.218105]; [-0.294793 0.217804 -1.599581]; [-0.337048 0.260325 -1.705026]; [-0.352031 0.355386 -2.021709]; [-0.505985 0.454127 -2.287234]; [-0.654979 0.530982 -2.544892]; [-0.737485 0.548949 -2.769500]; [-0.787261 0.520639 -3.109633]; [-0.839426 0.515084 -3.132295]; [-0.989157 0.588790 -3.065934]; [-1.170045 0.737777 -3.380100]; [-1.422620 1.075124 -4.947914]; [-1.684602 1.645138 -6.086499]; [-1.776882 2.317499 -5.715081]; [-1.852019 3.263906 -5.731967]; [-1.852160 3.854478 -7.198739]; [-1.900348 4.081748 -7.848553]; [-2.232440 4.491621 -7.102430]; [-2.340697 5.041787 -7.455121]; [-2.323027 5.756297 -8.021896]; [-2.333848 6.348135 -8.544683]; [-2.029557 6.818285 -7.363407]; [-1.813237 7.134708 -9.769705]; [-1.805051 7.500599 -7.624671]; 
[-0.834887 7.692051 -7.256048]; [-1.140075 7.226514 -4.008016]; [-1.291838 6.478556 -5.023846]; [-1.191077 6.637771 -4.825362]; [-1.078028 6.723962 -4.300399]; [-0.750461 6.747896 -4.731723]; [-0.537957 6.863901 -3.720753]; [-0.528779 6.990205 -4.086864]; [-0.425908 7.198800 -4.070698]; [-0.499248 7.037189 -2.977262]; [-0.370805 6.811524 -4.105779]; [-0.545314 6.620742 -3.940033]; [-0.875810 6.481278 -2.461650]; [-0.825911 6.594059 -4.156042]; [-0.937340 6.519466 -2.842188]; [-1.039436 6.591424 -3.450194]; [-1.102177 6.539386 -3.228707]; [-1.104044 6.227488 -2.943653]; [-1.179372 5.973572 -1.487255]; [-0.917072 5.801511 -3.095175]; [-0.777979 5.863110 -3.591499]; [-0.883776 5.526561 -2.157004]; [-0.739425 5.133513 -4.732462]; [-0.729930 5.148702 -3.363291]; [-0.838348 4.991593 -2.039377]; 
[-1.108277 -2.886227 -4.619239]; [-1.113624 -3.347110 -3.318583]; [-0.903491 -3.611093 -3.722593]; [-1.251702 -4.288501 -0.635293]; [-1.438630 -4.839190 0.062172]; [-1.337358 -4.765848 -0.206683]; [-1.520571 -4.496992 0.498493]; [-1.372738 -4.379586 -1.496813]; [-1.181509 -5.358161 -2.212191]; [-0.746149 -5.898050 -3.973286]; [-0.754373 -5.668525 -5.345760]; [-1.162442 -5.557559 -5.167869]; [-1.844624 -5.524049 -5.348272]; [-2.583028 -5.352443 -5.819266]; [-3.066610 -5.135499 -6.438572]; [-3.585784 -5.500626 -6.695148]; [-4.005990 -5.870032 -6.590914]; [-4.173717 -6.119771 -6.387064]; [-4.182375 -5.498611 -2.925351]; [-3.575869 -5.258551 -2.394889]; [-2.700667 -5.360502 -2.036652]; [-2.078880 -5.451153 -1.624413]; [-1.189566 -5.077401 -2.393513]; [-0.615041 -4.985424 -3.367779]; [-0.020388 -4.998049 -4.816690]; 
[-0.568590 -1.026961 -0.627190]; [-0.713949 -1.020061 -0.951236]; [-0.825543 -1.072879 -1.038940]; [-0.875771 -1.228474 -1.172907]; [-0.849101 -1.413881 -0.783917]; [-0.647746 -1.486267 -1.215670]; [-0.518420 -1.882497 -0.809236]; [-0.336892 -2.412610 -1.453515]; [-0.447516 -3.508275 -1.666616]; [-0.637151 -4.171028 -1.972526]; [-0.894011 -4.852391 -2.800701]; [-1.024321 -5.564139 -5.503789]; [-0.987153 -6.371892 -4.907035]; [-0.903448 -7.040466 -6.416492]; [-1.271868 -7.357119 -4.752525]; [-1.692174 -7.675131 -4.417522]; [-2.399298 -8.422603 -1.684162]; [-2.403417 -9.036621 -1.722010]; [-2.111839 -9.393550 0.271473]; [-1.371132 -9.320827 -0.147265]; [-0.656736 -9.039782 -1.934643]; [-0.248925 -9.137045 -3.685535]; [-0.348783 -9.083289 -2.505015]; [-0.293546 -8.714576 -3.152514]; [-0.355675 -8.062168 -2.972436]; 
[-1.305073 -0.805396 3.027167]; [-1.315007 -0.825777 2.347015]; [-1.488836 -0.944485 2.899642]; [-1.555295 -1.181335 1.735691]; [-1.589905 -1.049088 2.247304]; [-1.596832 -1.061640 1.541062]; [-1.474257 -1.043911 1.589374]; [-1.480851 -1.397241 0.987171]; [-1.612684 -1.821058 0.614179]; [-1.695219 -2.162939 -0.345110]; [-1.739041 -2.575788 -0.606948]; [-1.676185 -3.198036 -1.424054]; [-1.691754 -4.002905 -1.891971]; [-1.684248 -4.483960 -2.201863]; [-1.523980 -5.373935 -2.650241]; [-1.334160 -6.245804 -3.140486]; [-1.105673 -6.815368 -4.140110]; [-1.230254 -7.254910 -3.915700]; [-1.362008 -7.615120 -2.685781]; [-1.565840 -8.228284 -1.305963]; [-1.838202 -8.764530 -1.440113]; [-1.861330 -8.823294 -2.431086]; [-1.914112 -8.564692 -2.420566]; [-2.069713 -8.610652 -1.864664]; [-2.099020 -8.889193 -2.272158]; 
[-1.136149 -0.728236 1.028759]; [-1.274378 -0.798788 1.493174]; [-1.288554 -0.781191 2.222554]; [-1.208202 -1.053285 0.548552]; [-1.286137 -1.095388 1.180457]; [-1.255424 -0.911825 0.824753]; [-1.376673 -0.892484 1.288831]; [-1.504060 -0.950542 1.130717]; [-1.558811 -1.013868 0.439209]; [-1.694116 -1.355001 1.205304]; [-1.705388 -1.734619 0.027580]; [-1.974551 -2.310788 0.222099]; [-2.162416 -3.373516 -0.756479]; [-2.078005 -4.667336 -1.380641]; [-2.036708 -6.284715 -1.760838]; [-1.922411 -7.004438 -1.778188]; [-1.865377 -7.250463 -1.347955]; [-1.860724 -7.305756 -1.420058]; [-2.028398 -7.356536 -1.772946]; [-1.921568 -7.322616 -2.127404]; [-1.708723 -7.993825 -3.167922]; [-2.008905 -9.243319 -1.476766]; [-1.700211 -8.713780 -3.165353]; [-1.314068 -8.263283 -3.826205]; [-1.552998 -7.791476 -2.369097]; 
[-0.881348 -0.162253 -1.997468]; [-0.877936 -0.250247 -1.274117]; [-0.945286 -0.289738 -1.135682]; [-0.935736 -0.209635 -1.997105]; [-0.978160 0.016302 -2.030921]; [-0.901751 0.220409 -3.035649]; [-0.976283 0.448104 -2.852567]; [-1.037060 0.594606 -3.136225]; [-1.083718 0.652011 -3.520598]; [-0.992594 0.535695 -4.624500]; [-0.920672 0.608647 -4.783985]; [-1.088025 0.931223 -3.045051]; [-1.216924 1.441565 -3.715930]; [-1.391765 2.004730 -2.529401]; [-1.233179 2.590502 -4.276045]; [-1.395572 3.081563 -4.559613]; [-1.627154 3.524014 -5.324306]; [-1.618645 3.698807 -7.043925]; [-1.567732 3.744869 -7.681644]; [-1.670990 3.790506 -6.851165]; [-1.614530 3.910479 -6.469632]; [-1.558976 4.904288 -6.651824]; [-1.621345 6.029144 -6.073804]; [-1.331417 6.071271 -6.533711]; [-1.570677 5.329410 -8.424928]; 
[-0.798722 0.511857 1.986522]; [-0.770175 0.478945 1.872645]; [-0.800716 0.362171 1.213617]; [-0.796398 0.318333 1.644803]; [-0.831827 0.185324 1.240932]; [-0.899895 0.132393 1.461388]; [-0.893112 0.021909 1.190650]; [-1.014381 0.077783 1.653318]; [-0.951882 0.101214 1.427967]; [-0.982271 0.230955 2.068950]; [-1.002251 0.350026 1.907557]; [-0.996079 0.304701 1.909331]; [-0.957390 0.355333 1.208127]; [-0.932021 0.392553 1.202252]; [-1.059859 0.550519 0.777082]; [-1.195269 0.878572 0.055543]; [-1.328833 1.434634 -1.012204]; [-1.555701 2.428208 -0.683732]; [-1.603860 3.487530 -1.927795]; [-1.573352 4.010660 -2.600867]; [-1.423326 4.282541 -3.386068]; [-1.383726 4.568727 -4.680519]; [-1.479405 4.833245 -5.241660]; [-1.518644 5.700701 -4.481125]; [-1.547443 6.159220 -3.315333]; 
[-1.231435 -0.153264 2.239430]; [-1.207547 -0.120722 2.571186]; [-1.111893 -0.316277 2.826055]; [-1.058828 -0.345749 2.413214]; [-1.069658 -0.391531 1.768409]; [-1.221579 -0.228314 1.945800]; [-1.347546 -0.033209 1.237935]; [-1.446451 0.086984 0.586345]; [-1.511379 0.157787 -0.637295]; [-1.578152 0.372392 -2.256662]; [-1.694989 0.637799 -3.398313]; [-1.837333 1.348273 -5.547167]; [-2.093512 3.255113 -4.757345]; [-2.102878 4.943879 -3.742132]; [-1.904896 5.277230 -4.858911]; [-1.622743 4.968525 -5.095143]; [-1.323965 4.939574 -4.629292]; [-1.266963 5.313526 -4.707548]; [-1.373205 6.174505 -4.862089]; [-1.362429 6.991138 -4.722218]; [-0.948972 7.030728 -6.402471]; [-0.839580 6.679634 -6.658980]; [-0.820279 6.242847 -6.145691]; [-0.851509 6.004734 -6.325964]; [-0.804386 5.859901 -5.698828]; 
[-1.622743 4.968525 -5.095143]; [-1.323965 4.939574 -4.629292]; [-1.266963 5.313526 -4.707548]; [-1.373205 6.174505 -4.862089]; [-1.362429 6.991138 -4.722218]; [-0.948972 7.030728 -6.402471]; [-0.839580 6.679634 -6.658980]; [-0.820279 6.242847 -6.145691]; [-0.851509 6.004734 -6.325964]; [-0.804386 5.859901 -5.698828]; [-0.950430 5.175237 -3.843752]; [-0.682558 4.306299 -4.443219]; [-0.857359 3.094819 -0.975459]; [-0.889586 2.018510 0.630736]; [-0.824263 1.290908 -1.268789]; [-0.998437 0.709739 0.297415]; [-1.025780 0.371817 1.468216]; [-0.899603 0.226757 -0.179741]; [-0.962573 0.134828 0.527688]; [-0.896378 0.039519 0.908132]; [-0.917583 0.005486 2.945973]; [-0.767134 0.251421 1.270145]; [-0.834528 0.385993 1.583604]; [-0.872021 0.425159 1.113984]; [-0.922864 0.273703 1.970734]; 
[-2.203668 5.026205 -4.957062]; [-2.246211 5.265297 -5.449570]; [-2.456991 6.220507 -5.235870]; [-2.295001 6.766026 -4.039270]; [-1.938832 6.675880 -2.362196]; [-1.352056 6.209746 -3.776625]; [-1.069249 5.615228 -4.525552]; [-1.040954 4.946690 -2.687102]; [-0.785977 4.976155 -2.976832]; [-0.780798 5.222010 -0.592434]; [-0.663180 5.464246 -1.043912]; [-0.616555 5.261134 -1.772415]; [-0.794500 4.745082 -0.717127]; [-0.795578 4.041720 0.741548]; [-0.572031 3.505186 -0.305954]; [-0.735421 2.849465 3.166606]; [-0.678063 2.050369 1.929816]; [-0.837365 1.337940 2.330812]; [-1.121307 0.779671 5.767220]; [-0.870648 0.496347 2.034406]; [-0.965118 0.270836 3.072197]; [-1.084946 0.303484 4.668966]; [-0.883490 0.388849 2.397126]; [-0.889418 0.471432 2.823976]; [-0.970421 0.230517 3.858122]; 
