[-0.484283 1.628015 -4.103190]; [-0.643447 1.664613 -4.815737]; [-0.846496 1.758338 -3.677169]; [-1.011568 2.048904 -2.816275]; [-1.201070 2.565187 -2.593176]; [-1.467580 3.071167 -2.168595]; [-1.640502 3.165844 -3.437486]; [-1.862108 3.274372 -2.042373]; [-1.883172 3.608184 -1.707994]; [-1.932372 4.684940 -0.808812]; [-1.822737 5.643378 -0.622981]; [-1.671397 5.781006 -0.683358]; [-1.579826 5.933710 -0.142129]; [-1.660503 6.398285 0.351247]; [-1.638593 6.606445 0.923402]; [-1.523092 7.163059 1.823009]; [-1.278636 6.897752 2.217838]; [-1.092521 7.162472 3.534133]; [-0.836541 7.108162 4.040588]; [-0.580209 7.053293 4.273769]; [-0.362415 7.041841 5.186250]; [-0.233061 7.199303 5.778897]; [-0.160392 7.283143 6.198091]; [0.049737 7.182314 6.027678]; [0.216205 7.512149 5.937310]; 
[-0.642155 1.484613 1.523378]; [-0.575801 1.444779 1.027382]; [-0.583056 1.486072 1.814464]; [-0.546177 1.559543 1.570409]; [-0.571994 1.593837 1.466153]; [-0.527835 1.693068 1.430974]; [-0.470396 1.754089 1.402158]; [-0.483908 1.776740 1.743538]; [-0.434781 1.725359 1.727165]; [-0.433635 1.841134 2.111253]; [-0.427647 1.969411 2.208678]; [-0.375192 2.098134 1.865201]; [-0.425845 2.374201 2.392660]; [-0.495970 2.727306 2.467523]; [-0.563192 3.268096 2.518591]; [-0.731952 3.870997 2.798784]; [-0.745810 4.607294 1.968605]; [-0.767302 5.278448 1.404208]; [-0.759473 6.019920 1.628430]; [-0.752126 6.600108 3.308399]; [-0.873836 6.907070 4.039507]; [-0.966879 7.484723 4.308530]; [-1.022930 7.796926 5.241054]; [-1.051472 7.755357 5.095264]; [-1.217867 8.108990 4.443184]; 
[-0.943273 8.431123 5.273810]; [-0.505355 8.412354 6.832531]; [-0.181098 8.359248 7.056906]; [0.143482 7.832569 7.373537]; [0.513448 7.753613 6.647619]; [0.411990 8.157677 5.931070]; [0.123158 8.121488 5.695436]; [-0.143735 7.920454 4.417262]; [-0.373716 7.370207 5.625259]; [-0.449020 7.119990 6.410794]; [-0.597158 7.015775 6.959915]; [-0.685601 6.622644 7.742764]; [-0.604685 5.973937 5.882126]; [-0.561767 5.159851 3.892224]; [-0.653737 4.308353 2.094150]; [-0.894936 3.010408 -0.192535]; [-0.920365 2.324626 -0.706260]; [-0.694842 1.617797 -0.528041]; [-0.415204 1.496169 -1.603189]; [-0.375568 1.618221 -0.472941]; [-0.496801 1.786748 -0.367373]; [-0.793350 1.970131 -1.060876]; [-0.874290 1.699163 -1.472148]; [-0.732251 1.414543 -1.058403]; [-0.583841 1.373881 -1.045354]; 
[-1.466413 7.291580 4.419448]; [-1.695620 7.749210 4.655454]; [-1.685269 7.986449 4.799051]; [-1.681765 8.204916 6.387641]; [-1.566476 8.486149 6.676055]; [-1.148337 8.875695 6.725338]; [-0.679349 8.995467 6.961264]; [-0.266274 8.840656 7.166283]; [-0.045273 8.608274 7.307439]; [-0.073674 8.664146 7.548320]; [-0.108890 8.761088 8.115950]; [-0.222447 8.865083 7.605733]; [-0.794504 8.980368 9.401496]; [-1.077314 8.481733 8.142870]; [-1.432606 8.559119 7.049325]; [-1.976089 8.658705 9.466838]; [-2.034457 8.008818 8.544542]; [-1.759129 7.149302 9.030995]; [-1.256685 6.676523 8.641212]; [-0.700634 5.893657 6.301277]; [-0.575713 4.967257 5.094921]; [-0.461792 3.696354 2.957063]; [-0.408259 2.732789 1.407105]; [-0.473461 2.201412 1.361719]; [-0.376034 2.000124 0.528185]; 
[0.024084 -2.492692 -1.051677]; [-0.005183 -3.407931 -0.815378]; [0.126617 -4.308996 -0.698500]; [0.291190 -4.813856 -0.458470]; [0.398465 -5.333096 -0.766195]; [0.307837 -5.746019 -0.046248]; [0.382735 -6.078278 -0.517467]; [0.264449 -6.613171 -0.670275]; [0.406013 -7.117364 -1.919447]; [0.673460 -7.372372 -1.420688]; [1.024254 -7.669617 0.169300]; [1.400048 -7.878337 -1.967906]; [1.601337 -8.057112 0.751682]; [1.855877 -8.342982 -0.656788]; [2.051941 -8.452795 1.298898]; [2.461172 -9.103492 2.311276]; [2.797134 -9.861740 1.132254]; [3.001068 -9.914111 4.027743]; [3.390836 -9.734155 1.350353]; [3.519189 -9.181986 2.771924]; [3.528274 -9.254027 3.030530]; [3.534582 -9.273354 1.701773]; [3.381127 -7.837518 1.125281]; [2.892030 -6.059767 0.500274]; [2.204603 -4.572898 1.001242]; 
[0.006557 -1.904707 -1.448696]; [-0.030955 -2.352344 -0.927583]; [-0.102235 -3.020277 -0.914606]; [-0.041817 -3.595810 -0.724034]; [0.159856 -4.023385 -0.078502]; [0.348392 -4.433709 1.014547]; [0.500784 -4.663346 1.542527]; [0.392130 -5.244430 2.230763]; [0.281435 -5.783992 2.568887]; [0.391427 -5.954069 3.077216]; [0.510858 -6.193096 3.697066]; [0.525871 -6.531863 4.289210]; [0.716107 -6.781189 3.886113]; [0.904513 -7.105078 2.460850]; [0.953154 -7.181917 2.514467]; [0.976241 -7.270402 2.130513]; [0.877861 -7.331407 3.066981]; [0.861727 -7.390419 3.600237]; [0.912944 -7.679330 4.654856]; [1.033672 -8.002180 4.632837]; [1.091837 -8.287887 5.253161]; [1.105546 -8.494887 4.858463]; [1.192462 -8.642451 5.078070]; [1.239110 -8.555192 5.081001]; [1.184784 -8.665657 3.923262]; 
[-0.820034 -0.993261 -0.292546]; [-0.804549 -0.858444 0.081694]; [-0.679350 -0.814792 -0.626912]; [-0.762247 -1.072990 -0.344282]; [-0.711790 -1.581685 0.305789]; [-0.644794 -2.077410 0.299552]; [-0.566428 -2.605872 0.101205]; [-0.505289 -3.248833 0.161695]; [-0.435668 -3.981087 0.285637]; [-0.247388 -4.729780 0.735272]; [-0.096002 -5.455169 0.851261]; [0.003850 -6.338636 1.226011]; [0.048434 -6.724109 2.586253]; [0.100531 -6.942748 1.805112]; [-0.001198 -6.874754 1.807119]; [-0.146018 -7.242076 2.264863]; [-0.029936 -7.714052 2.754887]; [0.493456 -7.910600 1.538609]; [0.612001 -8.327848 2.185008]; [0.731687 -8.894827 2.065443]; [0.810565 -8.977214 1.834022]; [0.863807 -8.996958 3.216547]; [1.091867 -8.973125 1.636293]; [1.155225 -9.501123 2.285306]; [1.271459 -9.267333 2.192053]; 
[-0.297936 0.666974 -2.612684]; [-0.297537 0.760884 -3.247303]; [-0.323190 0.628868 -4.097231]; [-0.332118 0.581534 -4.475447]; [-0.432347 0.776081 -3.005667]; [-0.658407 0.999737 -1.448759]; [-0.847042 1.134004 -1.579709]; [-1.064908 1.345006 0.155816]; [-0.923259 1.513227 -0.384946]; [-0.734657 1.647569 -0.298470]; [-0.415389 1.798667 -2.470761]; [-0.272689 2.059112 -2.737582]; [0.028555 2.490831 -3.688629]; [0.177213 2.681687 -4.362602]; [0.294623 3.074464 -3.508511]; [0.525962 3.508820 -3.258115]; [0.869088 3.678636 -3.252290]; [0.960330 3.500453 -3.210534]; [0.811398 3.193394 -2.982754]; [0.891692 3.410828 -2.883005]; [0.803154 3.959840 -2.957687]; [0.748830 4.288180 -3.136992]; [0.712642 4.307679 -2.987263]; [0.404602 4.556024 -3.881078]; [0.253031 4.742935 -2.965567]; 
[0.644325 5.818083 -1.498828]; [0.800652 6.026113 -3.962304]; [0.991496 6.308561 -1.997096]; [1.250021 6.332206 -2.855352]; [1.268142 6.550026 -1.767957]; [1.445444 6.684173 -2.400036]; [1.558890 6.711442 -1.129369]; [1.512748 6.904685 -1.755005]; [1.113881 7.283218 -0.014541]; [1.058666 7.079147 0.246449]; [1.105341 7.121277 0.930787]; [1.156185 7.146518 1.243532]; [1.041324 7.250435 2.328197]; [1.043552 7.500115 2.172057]; [1.196196 7.362457 3.684475]; [1.444532 7.688536 3.267803]; [1.547993 8.040907 4.506494]; [1.865005 8.464792 4.523292]; [1.980360 8.696940 4.846778]; [2.105782 8.929387 5.070432]; [1.853420 9.422042 6.678664]; [1.392222 9.828403 7.619282]; [1.515517 9.585896 5.557656]; [1.928684 8.701582 7.126533]; [1.807164 7.802648 5.108169]; 
[-0.572907 3.486975 -3.249571]; [-0.625258 4.277170 -3.142807]; [-0.828310 5.286415 -2.923695]; [-0.888753 6.060727 -2.232515]; [-0.717693 6.285933 -1.293523]; [-0.919715 6.929930 -0.727666]; [-0.944092 7.482231 -1.439103]; [-0.919921 8.012129 -0.956511]; [-0.845487 8.349295 0.090688]; [-0.422015 8.371084 -1.434798]; [-0.150149 8.318933 -0.199113]; [-0.107373 8.654202 -0.178593]; [0.042955 8.763702 -0.085897]; [0.359497 8.462204 1.079266]; [0.491833 8.457035 1.586124]; [0.488281 8.634374 1.448641]; [0.198349 8.826308 1.526856]; [-0.067176 8.569196 1.250205]; [-0.269937 8.261140 1.308868]; [-0.528586 8.061436 2.784298]; [-0.542341 8.242134 1.838787]; [-0.735192 8.314906 2.472650]; [-0.747289 7.900688 2.812225]; [-0.782386 7.518212 2.723125]; [-0.881428 7.307081 3.206747]; 
[0.011122 1.127193 -0.233017]; [0.033732 0.942281 -0.094758]; [-0.061532 0.730374 0.674285]; [-0.232990 0.926171 0.633466]; [-0.290642 1.195645 0.452753]; [-0.197975 1.247989 0.065680]; [-0.105543 1.181146 0.733986]; [-0.325522 1.408810 1.053148]; [-0.332562 1.326515 1.007146]; [-0.263789 1.267162 1.190203]; [-0.264615 1.459816 1.506215]; [-0.375121 1.673404 2.285515]; [-0.423003 1.944957 1.770946]; [-0.411567 2.449457 2.293715]; [-0.372115 3.187920 2.640169]; [-0.362981 4.334561 2.194728]; [-0.331224 5.575566 3.325228]; [-0.108208 6.202365 3.892085]; [-0.038833 6.494494 4.090220]; [-0.115710 6.719096 3.174633]; [-0.215690 7.038151 2.775804]; [-0.261224 7.757945 2.531312]; [-0.051507 8.690811 3.348188]; [-0.081347 9.427565 4.849268]; [0.118225 9.950053 6.196433]; 
