[-0.989157 0.588790 -3.065934]; [-1.170045 0.737777 -3.380100]; [-1.422620 1.075124 -4.947914]; [-1.684602 1.645138 -6.086499]; [-1.776882 2.317499 -5.715081]; [-1.852019 3.263906 -5.731967]; [-1.852160 3.854478 -7.198739]; [-1.900348 4.081748 -7.848553]; [-2.232440 4.491621 -7.102430]; [-2.340697 5.041787 -7.455121]; [-2.323027 5.756297 -8.021896]; [-2.333848 6.348135 -8.544683]; [-2.029557 6.818285 -7.363407]; [-1.813237 7.134708 -9.769705]; [-1.805051 7.500599 -7.624671]; [-1.643347 7.344216 -7.574716]; [-1.454274 7.409516 -5.629654]; [-1.194737 7.223347 -6.454183]; [-1.005459 7.150758 -7.267275]; [-1.005010 7.509843 -6.265657]; [-0.834887 7.692051 -7.256048]; [-1.140075 7.226514 -4.008016]; [-1.291838 6.478556 -5.023846]; [-1.191077 6.637771 -4.825362]; [-1.078028 6.723962 -4.300399]; 
[-0.370805 6.811524 -4.105779]; [-0.545314 6.620742 -3.940033]; [-0.875810 6.481278 -2.461650]; [-0.825911 6.594059 -4.156042]; [-0.937340 6.519466 -2.842188]; [-1.039436 6.591424 -3.450194]; [-1.102177 6.539386 -3.228707]; [-1.104044 6.227488 -2.943653]; [-1.179372 5.973572 -1.487255]; [-0.917072 5.801511 -3.095175]; [-0.777979 5.863110 -3.591499]; [-0.883776 5.526561 -2.157004]; [-0.739425 5.133513 -4.732462]; [-0.729930 5.148702 -3.363291]; [-0.838348 4.991593 -2.039377]; [-0.701452 4.517015 -2.976373]; [-0.736471 4.394139 -1.948363]; [-0.885351 3.973682 -1.528120]; [-0.790759 3.542899 -1.848834]; [-0.956897 3.284738 0.835077]; [-0.831758 2.759802 -0.266670]; [-0.873454 2.303976 -0.486017]; [-1.036407 1.663407 1.994058]; [-0.897928 1.429165 -0.948420]; [-1.076959 1.438109 3.057893]; 
[-0.754373 -5.668525 -5.345760]; [-1.162442 -5.557559 -5.167869]; [-1.844624 -5.524049 -5.348272]; [-2.583028 -5.352443 -5.819266]; [-3.066610 -5.135499 -6.438572]; [-3.585784 -5.500626 -6.695148]; [-4.005990 -5.870032 -6.590914]; [-4.173717 -6.119771 -6.387064]; [-4.182375 -5.498611 -2.925351]; [-3.575869 -5.258551 -2.394889]; [-2.700667 -5.360502 -2.036652]; [-2.078880 -5.451153 -1.624413]; [-1.189566 -5.077401 -2.393513]; [-0.615041 -4.985424 -3.367779]; [-0.020388 -4.998049 -4.816690]; [0.191164 -4.748588 -4.296650]; [0.146601 -4.275457 -5.516698]; [-0.426477 -3.928592 -3.051402]; [-0.544970 -3.412800 -3.434825]; [-0.625093 -2.916275 -2.848715]; [-0.389318 -2.230763 -1.502732]; [0.023957 -1.820095 -1.659794]; [0.198074 -1.611020 -0.836006]; [0.296397 -1.420334 -1.775318]; [0.332115 -1.236207 -1.129130]; 
[-0.894011 -4.852391 -2.800701]; [-1.024321 -5.564139 -5.503789]; [-0.987153 -6.371892 -4.907035]; [-0.903448 -7.040466 -6.416492]; [-1.271868 -7.357119 -4.752525]; [-1.692174 -7.675131 -4.417522]; [-2.399298 -8.422603 -1.684162]; [-2.403417 -9.036621 -1.722010]; [-2.111839 -9.393550 0.271473]; [-1.371132 -9.320827 -0.147265]; [-0.656736 -9.039782 -1.934643]; [-0.248925 -9.137045 -3.685535]; [-0.348783 -9.083289 -2.505015]; [-0.293546 -8.714576 -3.152514]; [-0.355675 -8.062168 -2.972436]; [-0.466965 -7.675603 -3.208384]; [-0.377171 -6.777092 -3.215728]; [-0.217528 -5.242514 -3.424138]; [-0.238374 -3.885641 -1.755661]; [-0.198149 -2.939497 -1.658928]; [-0.097050 -1.914923 -3.363825]; [-0.193867 -1.132961 -3.290558]; [-0.208421 -0.936122 -3.812662]; [-0.234874 -1.116172 -3.794452]; [-0.432039 -1.219234 -2.882323]; 
[-1.739041 -2.575788 -0.606948]; [-1.676185 -3.198036 -1.424054]; [-1.691754 -4.002905 -1.891971]; [-1.684248 -4.483960 -2.201863]; [-1.523980 -5.373935 -2.650241]; [-1.334160 -6.245804 -3.140486]; [-1.105673 -6.815368 -4.140110]; [-1.230254 -7.254910 -3.915700]; [-1.362008 -7.615120 -2.685781]; [-1.565840 -8.228284 -1.305963]; [-1.838202 -8.764530 -1.440113]; [-1.861330 -8.823294 -2.431086]; [-1.914112 -8.564692 -2.420566]; [-2.069713 -8.610652 -1.864664]; [-2.099020 -8.889193 -2.272158]; [-1.906354 -8.505405 -2.202924]; [-1.640138 -8.420513 -2.309674]; [-1.289497 -7.525634 -1.688939]; [-1.064872 -6.137233 -0.472373]; [-1.190855 -4.291782 0.573618]; [-1.268933 -2.408156 1.146713]; [-1.138882 -1.230001 1.900230]; [-1.080510 -0.617242 1.085426]; [-0.932810 -0.537721 0.812008]; [-0.856025 -0.540487 0.024627]; 
[-1.705388 -1.734619 0.027580]; [-1.974551 -2.310788 0.222099]; [-2.162416 -3.373516 -0.756479]; [-2.078005 -4.667336 -1.380641]; [-2.036708 -6.284715 -1.760838]; [-1.922411 -7.004438 -1.778188]; [-1.865377 -7.250463 -1.347955]; [-1.860724 -7.305756 -1.420058]; [-2.028398 -7.356536 -1.772946]; [-1.921568 -7.322616 -2.127404]; [-1.708723 -7.993825 -3.167922]; [-2.008905 -9.243319 -1.476766]; [-1.700211 -8.713780 -3.165353]; [-1.314068 -8.263283 -3.826205]; [-1.552998 -7.791476 -2.369097]; [-1.695763 -8.039431 -3.272735]; [-1.295716 -7.479379 -3.537064]; [-0.826988 -6.960736 -5.035158]; [-0.902292 -6.642164 -0.660706]; [-0.456994 -6.086264 -2.406488]; [-0.162059 -5.504097 -0.716709]; [0.240898 -4.984996 0.075028]; [0.350848 -4.476621 0.345054]; [0.464382 -3.659785 -0.300365]; [0.400530 -2.928456 1.309427]; 
[-0.920672 0.608647 -4.783985]; [-1.088025 0.931223 -3.045051]; [-1.216924 1.441565 -3.715930]; [-1.391765 2.004730 -2.529401]; [-1.233179 2.590502 -4.276045]; [-1.395572 3.081563 -4.559613]; [-1.627154 3.524014 -5.324306]; [-1.618645 3.698807 -7.043925]; [-1.567732 3.744869 -7.681644]; [-1.670990 3.790506 -6.851165]; [-1.614530 3.910479 -6.469632]; [-1.558976 4.904288 -6.651824]; [-1.621345 6.029144 -6.073804]; [-1.331417 6.071271 -6.533711]; [-1.570677 5.329410 -8.424928]; [-2.038556 5.417115 -6.582853]; [-2.139293 5.527996 -6.568077]; [-2.031733 6.019149 -5.789958]; [-1.907635 5.744864 -6.641319]; [-2.029900 5.946051 -5.737230]; [-2.128487 5.994870 -7.464814]; [-2.375059 5.788276 -5.105716]; [-2.352612 5.094112 -2.928014]; [-1.701466 3.776225 -0.917555]; [-1.069080 2.321927 0.519235]; 
[-1.002251 0.350026 1.907557]; [-0.996079 0.304701 1.909331]; [-0.957390 0.355333 1.208127]; [-0.932021 0.392553 1.202252]; [-1.059859 0.550519 0.777082]; [-1.195269 0.878572 0.055543]; [-1.328833 1.434634 -1.012204]; [-1.555701 2.428208 -0.683732]; [-1.603860 3.487530 -1.927795]; [-1.573352 4.010660 -2.600867]; [-1.423326 4.282541 -3.386068]; [-1.383726 4.568727 -4.680519]; [-1.479405 4.833245 -5.241660]; [-1.518644 5.700701 -4.481125]; [-1.547443 6.159220 -3.315333]; [-1.418061 6.558429 -1.874291]; [-1.110314 6.471248 -2.258400]; [-0.908530 6.174084 -1.532896]; [-0.849617 6.172833 0.190328]; [-0.696817 5.860278 0.369090]; [-0.634134 5.388227 1.835887]; [-0.430586 4.375958 2.628434]; [-0.400797 3.395788 3.060320]; [-0.686662 2.211902 2.986010]; [-0.885908 1.147961 2.866264]; 
[-1.221579 -0.228314 1.945800]; [-1.347546 -0.033209 1.237935]; [-1.446451 0.086984 0.586345]; [-1.511379 0.157787 -0.637295]; [-1.578152 0.372392 -2.256662]; [-1.694989 0.637799 -3.398313]; [-1.837333 1.348273 -5.547167]; [-2.093512 3.255113 -4.757345]; [-2.102878 4.943879 -3.742132]; [-1.904896 5.277230 -4.858911]; [-1.622743 4.968525 -5.095143]; [-1.323965 4.939574 -4.629292]; [-1.266963 5.313526 -4.707548]; [-1.373205 6.174505 -4.862089]; [-1.362429 6.991138 -4.722218]; [-0.948972 7.030728 -6.402471]; [-0.839580 6.679634 -6.658980]; [-0.820279 6.242847 -6.145691]; [-0.851509 6.004734 -6.325964]; [-0.804386 5.859901 -5.698828]; [-0.950430 5.175237 -3.843752]; [-0.682558 4.306299 -4.443219]; [-0.857359 3.094819 -0.975459]; [-0.889586 2.018510 0.630736]; [-0.824263 1.290908 -1.268789]; 
[-0.998437 0.709739 0.297415]; [-1.025780 0.371817 1.468216]; [-0.899603 0.226757 -0.179741]; [-0.962573 0.134828 0.527688]; [-0.896378 0.039519 0.908132]; [-0.917583 0.005486 2.945973]; [-0.767134 0.251421 1.270145]; [-0.834528 0.385993 1.583604]; [-0.872021 0.425159 1.113984]; [-0.922864 0.273703 1.970734]; [-0.919280 0.496428 1.309727]; [-0.957875 0.674970 0.247617]; [-1.292300 0.939805 -1.745515]; [-1.501832 1.416349 -3.396552]; [-1.747038 2.271242 -2.937627]; [-1.861847 3.167397 -3.111971]; [-1.888463 4.139976 -4.270100]; [-1.804310 4.696215 -3.363374]; [-1.783633 5.146160 -3.853744]; [-1.818855 5.195522 -4.796834]; [-2.203668 5.026205 -4.957062]; [-2.246211 5.265297 -5.449570]; [-2.456991 6.220507 -5.235870]; [-2.295001 6.766026 -4.039270]; [-1.938832 6.675880 -2.362196]; 
[-0.965118 0.270836 3.072197]; [-1.084946 0.303484 4.668966]; [-0.883490 0.388849 2.397126]; [-0.889418 0.471432 2.823976]; [-0.970421 0.230517 3.858122]; [-0.949686 0.177894 4.200894]; [-1.065514 0.289485 2.977808]; [-0.974528 0.241504 2.974437]; [-1.151572 0.374068 3.401633]; [-1.310563 0.552008 1.422887]; [-1.568453 0.966008 -0.242103]; [-1.694512 1.520680 -2.872775]; [-2.058215 2.302959 -5.063084]; [-2.256898 2.872543 -5.417549]; [-2.350170 3.382116 -5.732901]; [-2.415059 3.906820 -4.449089]; [-2.573973 4.457654 -5.296476]; [-2.434406 5.067130 -5.239602]; [-1.787534 5.585217 -7.484718]; [-1.587254 5.506813 -7.116283]; [-1.548681 5.603826 -5.301617]; [-1.200712 5.604895 -5.106686]; [-0.970399 5.622523 -3.823808]; [-1.191719 5.487667 -1.182231]; [-0.960989 5.448868 -2.498692]; 
[-0.552056 -0.595634 -2.532209]; [-0.431169 -0.712919 -2.955863]; [-0.133939 -0.573544 -2.151135]; [-0.093740 -0.540797 -1.589844]; [-0.302723 -0.736988 -2.370845]; [-0.364788 -0.834424 -2.628980]; [-0.204812 -0.859723 -3.341774]; [-0.185613 -0.959615 -2.724323]; [-0.527911 -1.029444 -0.241161]; [-0.969870 -1.208936 1.072496]; [-0.957632 -1.288306 0.564766]; [-0.953425 -1.359704 0.210691]; [-1.241848 -2.106011 1.533061]; [-1.232421 -2.330561 0.769488]; [-1.232582 -2.546616 0.471343]; [-1.019455 -2.817619 -0.921162]; [-0.787428 -3.023360 -2.616879]; [-0.847281 -3.390539 -2.921095]; [-0.924632 -3.693449 -3.972709]; [-1.185011 -4.128227 -3.113007]; [-1.283750 -4.635279 -4.055390]; [-1.196499 -4.894788 -4.474048]; [-1.046079 -4.730383 -4.254048]; [-1.100875 -4.546434 -4.208777]; [-1.325019 -4.489469 -4.602514]; 
